continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,unit_of_wage,full_time_position,wage_range
Asia,Doctorate,Y,N,2027,1984,West,Year,Y,> 100000
Asia,Bachelor's,Y,N,249,2000,West,Year,Y,> 100000
Asia,Bachelor's,Y,N,4720,2000,West,Year,Y,50000-100000
Asia,Master's,N,N,3709,1982,Midwest,Year,Y,50000-100000
Europe,Doctorate,N,N,298041,1963,South,Year,Y,< 50000
Asia,Master's,N,N,1969,2013,South,Year,Y,> 100000
Asia,Master's,Y,N,5392,1939,West,Year,Y,< 50000
Asia,Bachelor's,Y,N,2849,1823,South,Year,Y,< 50000
North America,Master's,Y,N,2146,2002,Northeast,Year,Y,< 50000
North America,Bachelor's,N,N,4685,1994,South,Hour,Y,< 50000
Asia,Master's,Y,N,1724,1945,Midwest,Year,Y,> 100000
Asia,High School,N,N,2454,1963,Midwest,Hour,Y,50000-100000
Europe,Bachelor's,N,N,5033,2007,Northeast,Year,Y,< 50000
Asia,Master's,Y,N,885,1904,Island,Year,Y,50000-100000
Asia,Bachelor's,Y,N,806,1993,West,Year,N,< 50000
North America,Bachelor's,N,N,3853,2006,South,Year,Y,> 100000
North America,Doctorate,Y,Y,416,2013,South,Year,Y,> 100000
Africa,High School,Y,N,772,1986,Northeast,Year,Y,50000-100000
Asia,Bachelor's,N,N,1768,1902,Midwest,Year,Y,> 100000
Europe,Master's,Y,N,1978,2013,Northeast,Year,Y,< 50000
Asia,Bachelor's,N,N,2341,1965,Northeast,Hour,Y,< 50000
Asia,Master's,Y,Y,2532,2007,West,Year,Y,< 50000
Asia,Doctorate,Y,N,2330,1964,South,Year,Y,< 50000
Asia,Bachelor's,Y,N,122,1923,Northeast,Year,N,> 100000
Asia,Bachelor's,Y,N,1927,2005,South,Year,Y,> 100000
Asia,Master's,N,N,1027,2011,Northeast,Year,Y,> 100000
Africa,Master's,N,N,4291,2001,West,Year,Y,< 50000
Asia,Master's,Y,N,3193,2012,South,Year,Y,> 100000
Asia,Master's,Y,N,1131,2000,Midwest,Year,Y,> 100000
Asia,Master's,N,N,2621,1897,West,Year,N,< 50000
North America,Master's,N,N,3689,1872,South,Year,Y,< 50000
Europe,High School,N,Y,5303,1991,Northeast,Year,Y,> 100000
Asia,Bachelor's,Y,N,3206,2008,South,Year,Y,50000-100000
North America,Master's,N,N,509,2012,West,Year,Y,> 100000
Asia,Bachelor's,Y,N,1979,1993,Northeast,Month,Y,> 100000
Africa,High School,Y,N,2653,1941,Midwest,Year,Y,50000-100000
North America,Bachelor's,N,N,6138,2010,Northeast,Year,Y,< 50000
Europe,Master's,Y,Y,581,1873,Northeast,Year,Y,> 100000
Africa,Master's,Y,N,3287,2011,Northeast,Year,Y,50000-100000
Asia,Bachelor's,Y,N,2778,1855,South,Year,N,> 100000
Asia,Bachelor's,Y,N,2308,2006,South,Year,Y,50000-100000
North America,Bachelor's,Y,N,1308,2010,West,Year,Y,50000-100000
Asia,Bachelor's,Y,N,5338,2005,West,Year,Y,50000-100000
Europe,Doctorate,N,N,1546,1997,South,Year,Y,> 100000
Asia,Bachelor's,Y,N,562,2004,Northeast,Year,Y,50000-100000
Asia,Bachelor's,Y,N,1256,1882,Northeast,Year,Y,50000-100000
Asia,Master's,N,N,1923,1998,Northeast,Year,Y,> 100000
Asia,Master's,Y,N,1159,2013,Northeast,Year,Y,> 100000
Oceania,High School,Y,N,2146,1953,Northeast,Hour,Y,> 100000
Asia,Master's,Y,N,2284,2013,South,Year,Y,50000-100000
Asia,Bachelor's,N,N,4220,2007,West,Year,Y,> 100000
South America,Master's,N,N,4866,1998,West,Year,Y,> 100000
Asia,Bachelor's,Y,N,718,2000,Northeast,Month,Y,< 50000
Europe,Doctorate,N,N,496,2000,West,Year,Y,> 100000
Asia,Bachelor's,Y,N,1241,2003,West,Year,Y,> 100000
Europe,Master's,Y,N,5065,1876,West,Year,Y,< 50000
Africa,Bachelor's,N,N,2350,1928,Midwest,Year,Y,50000-100000
Asia,Master's,N,N,15777,1982,Midwest,Year,Y,< 50000
Asia,Master's,Y,N,76,1939,South,Year,Y,> 100000
Asia,Bachelor's,N,N,93018,2009,West,Year,Y,< 50000
Asia,Bachelor's,N,Y,3462,1999,West,Year,Y,> 100000
North America,Bachelor's,Y,N,24,1902,South,Hour,Y,< 50000
Europe,Bachelor's,Y,N,3475,1981,Northeast,Year,Y,< 50000
Asia,Master's,Y,N,4072,2001,South,Year,Y,> 100000
Asia,Bachelor's,N,N,654,1954,Northeast,Year,Y,> 100000
Europe,Master's,N,N,1195,1907,Island,Year,N,> 100000
Asia,Bachelor's,Y,N,2083,1947,West,Year,Y,50000-100000
Europe,Master's,N,N,526,1992,Northeast,Year,Y,< 50000
Asia,Master's,Y,N,3441,2006,West,Year,Y,< 50000
Asia,Bachelor's,Y,N,3488,1994,West,Year,Y,< 50000
Asia,High School,Y,N,189,2006,Midwest,Year,Y,> 100000
Asia,Master's,N,N,519,2007,South,Year,N,> 100000
North America,Master's,Y,N,5879,1911,Northeast,Year,Y,> 100000
Europe,Bachelor's,N,Y,4013,2004,West,Year,Y,50000-100000
Europe,Doctorate,N,N,1337,2015,West,Year,Y,50000-100000
Asia,Bachelor's,N,N,3843,2000,South,Year,Y,50000-100000
North America,Master's,Y,N,22,2006,Northeast,Year,N,50000-100000
Asia,Master's,Y,N,1013,1968,South,Year,Y,> 100000
Asia,Master's,Y,N,18,2000,Midwest,Year,Y,< 50000
Europe,Master's,N,N,498,1971,Midwest,Year,Y,> 100000
Asia,Bachelor's,Y,N,3271,1993,South,Year,Y,50000-100000
North America,Master's,N,N,13047,1990,Northeast,Year,Y,> 100000
North America,Master's,N,N,1406,2005,West,Year,N,> 100000
Asia,Bachelor's,Y,Y,53634,2004,West,Year,Y,50000-100000
Asia,Bachelor's,Y,N,3026,1934,South,Year,Y,50000-100000
North America,Master's,N,N,1670,1988,Midwest,Year,Y,50000-100000
Asia,Master's,Y,N,4265,1962,South,Year,Y,50000-100000
Europe,Bachelor's,Y,N,1007,2010,South,Year,Y,50000-100000
South America,Bachelor's,N,N,2574,2009,Northeast,Hour,Y,> 100000
Europe,Bachelor's,Y,Y,2522,1975,South,Year,Y,< 50000
Asia,Bachelor's,Y,N,3782,2003,Northeast,Year,Y,< 50000
Asia,High School,Y,N,150,2001,Midwest,Year,Y,> 100000
Asia,High School,Y,N,20292,2005,Northeast,Year,Y,50000-100000
Asia,Bachelor's,N,N,5047,1911,Northeast,Year,Y,< 50000
Asia,Master's,Y,N,1078,1968,Midwest,Year,Y,50000-100000
Asia,High School,Y,N,5749,1997,Northeast,Year,Y,< 50000
Asia,Master's,Y,N,4089,1999,South,Year,Y,< 50000
North America,Bachelor's,Y,N,3735,2004,Northeast,Year,Y,< 50000
Africa,Master's,N,N,1486,1992,Northeast,Year,Y,> 100000
Asia,High School,Y,N,2534,1976,West,Year,Y,> 100000
Asia,Bachelor's,Y,N,193,1949,Northeast,Year,Y,50000-100000
Europe,Bachelor's,N,N,13510,1836,Northeast,Year,Y,50000-100000
Asia,Bachelor's,N,N,2081,2002,South,Year,Y,< 50000
Asia,Bachelor's,N,N,2395,2008,South,Year,Y,50000-100000
Asia,Bachelor's,N,N,1023,1986,Northeast,Hour,Y,> 100000
Asia,High School,N,N,605,1985,Midwest,Year,Y,> 100000
Asia,Master's,Y,N,120925,1875,Northeast,Year,Y,50000-100000
Asia,Bachelor's,N,N,1227,1850,Midwest,Year,N,> 100000
South America,Bachelor's,Y,N,366,1973,Northeast,Year,Y,50000-100000
Asia,Bachelor's,Y,N,273,2001,West,Year,Y,50000-100000
Europe,Doctorate,Y,N,4223,1996,South,Year,Y,< 50000
Asia,Bachelor's,Y,N,4992,1977,Midwest,Year,Y,50000-100000
Asia,Doctorate,N,Y,682,2013,West,Year,Y,50000-100000
Asia,Master's,N,N,67,1998,Northeast,Year,Y,< 50000
Asia,Master's,N,N,3586,1997,South,Year,Y,> 100000
South America,Bachelor's,N,N,2400,1968,South,Hour,Y,< 50000
Asia,Master's,Y,N,1536,2009,Midwest,Year,Y,50000-100000
North America,High School,N,N,597,2005,West,Hour,Y,< 50000
North America,Master's,Y,N,4725,2010,Northeast,Year,Y,< 50000
Asia,Master's,Y,N,3050,1993,Northeast,Year,Y,< 50000
Asia,High School,Y,N,704,2013,West,Year,Y,50000-100000
North America,Bachelor's,Y,N,2477,1970,West,Week,Y,< 50000
Asia,Master's,Y,N,665,1900,South,Year,Y,50000-100000
Asia,Master's,Y,N,2691,2006,Midwest,Year,Y,> 100000
North America,Doctorate,Y,N,160,1929,West,Year,Y,< 50000
North America,Master's,N,N,1100,1997,Midwest,Year,Y,50000-100000
Asia,Bachelor's,Y,N,61,1992,Midwest,Year,Y,50000-100000
Asia,Doctorate,Y,Y,2978,1977,West,Year,Y,> 100000
Asia,High School,Y,N,675,2003,West,Year,Y,50000-100000
Asia,Master's,Y,N,767,1996,South,Year,Y,50000-100000
North America,Bachelor's,Y,N,10185,1999,South,Year,Y,> 100000
Asia,Master's,Y,N,3597,1888,South,Year,Y,< 50000
Asia,High School,Y,N,2672,2006,Northeast,Year,Y,> 100000
Asia,Doctorate,Y,Y,379,1845,West,Year,Y,< 50000
Asia,Bachelor's,N,N,1858,1865,West,Hour,Y,< 50000
Asia,Master's,N,N,2215,2001,West,Year,Y,> 100000
South America,Master's,Y,Y,917,2006,South,Year,Y,50000-100000
Asia,Bachelor's,Y,N,1561,1998,South,Year,Y,> 100000
Asia,Bachelor's,Y,N,4626,2003,South,Hour,Y,> 100000
North America,Bachelor's,N,Y,526,2007,Northeast,Year,Y,50000-100000
Asia,Bachelor's,Y,N,878,2002,South,Year,Y,50000-100000
Asia,Bachelor's,Y,N,1610,1962,Midwest,Year,Y,50000-100000
Europe,Master's,Y,Y,3790,1924,Midwest,Year,Y,< 50000
Asia,Master's,N,N,1169,2001,Midwest,Year,N,> 100000
Asia,Master's,N,N,615,2004,South,Year,N,> 100000
Europe,Bachelor's,Y,N,346,2009,West,Year,Y,> 100000
Asia,Doctorate,N,N,4370,2009,Midwest,Year,Y,50000-100000
North America,Bachelor's,Y,N,360,1996,West,Year,Y,< 50000
Asia,Bachelor's,N,N,1599,2005,Northeast,Year,N,50000-100000
Asia,Bachelor's,Y,N,4217,2004,Northeast,Year,Y,> 100000
Asia,High School,Y,N,86,2012,Northeast,Year,Y,< 50000
Asia,Bachelor's,Y,N,1407,1984,West,Year,Y,50000-100000
Asia,Master's,N,N,1777,1996,Northeast,Year,Y,> 100000
Asia,Master's,N,N,721,1997,Northeast,Year,Y,50000-100000
Asia,Master's,Y,N,5991,2004,South,Year,Y,50000-100000
North America,Master's,N,Y,2261,1998,Midwest,Year,Y,50000-100000
North America,Master's,N,N,818,1833,West,Year,Y,> 100000
Asia,Bachelor's,N,N,385,2000,West,Hour,Y,50000-100000
Asia,Master's,Y,N,1295,1987,South,Year,Y,50000-100000
Asia,Bachelor's,N,N,1217,1991,South,Year,Y,50000-100000
Asia,Master's,N,N,81,1968,South,Year,Y,> 100000
South America,Master's,Y,N,2080,1992,West,Year,Y,< 50000
North America,Master's,N,N,2323,1931,West,Year,Y,> 100000
Asia,Master's,N,N,1506,1960,South,Year,N,50000-100000
Asia,Bachelor's,N,N,401,2004,Northeast,Year,Y,> 100000
Asia,Bachelor's,Y,N,3074,1977,South,Year,Y,50000-100000
Asia,High School,Y,N,658,1985,Midwest,Year,Y,> 100000
Europe,Master's,N,N,1547,2004,South,Year,Y,< 50000
Asia,Master's,Y,N,1189,2011,Midwest,Year,N,> 100000
Europe,High School,N,N,5649,2000,West,Year,Y,< 50000
Asia,High School,Y,N,71,1996,Midwest,Year,Y,50000-100000
Europe,Bachelor's,N,N,6724,2011,Midwest,Year,Y,< 50000
North America,Bachelor's,Y,N,2347,1999,West,Hour,Y,> 100000
Asia,Master's,N,N,84160,1988,West,Year,Y,> 100000
North America,Doctorate,N,N,5119,1989,South,Year,Y,> 100000
Africa,Bachelor's,Y,N,3463,2008,Northeast,Year,Y,< 50000
Asia,Bachelor's,Y,N,928,2004,South,Year,Y,> 100000
North America,Doctorate,Y,N,2317,1995,Island,Year,Y,< 50000
Asia,Bachelor's,Y,N,627,1855,Midwest,Year,Y,50000-100000
Asia,Bachelor's,N,N,2454,1914,Northeast,Year,Y,50000-100000
Asia,Bachelor's,Y,N,3128,1999,West,Year,Y,< 50000
Asia,Master's,N,N,2770,1997,South,Year,N,> 100000
Europe,Master's,Y,N,941,2010,South,Year,Y,< 50000
Asia,Bachelor's,N,N,2554,1962,West,Year,Y,> 100000
Asia,Bachelor's,Y,N,2662,1977,West,Year,Y,> 100000
Asia,Master's,N,N,348,1880,Northeast,Year,N,> 100000
Asia,Bachelor's,N,N,2594,1849,South,Year,Y,50000-100000
Asia,Master's,N,N,142,1959,Midwest,Year,Y,> 100000
South America,Bachelor's,Y,N,4877,1918,South,Year,Y,50000-100000
North America,Bachelor's,N,N,799,1992,West,Year,Y,> 100000
Asia,Bachelor's,Y,N,1737,1997,Northeast,Year,Y,50000-100000
Asia,Bachelor's,Y,Y,1861,1941,Northeast,Year,Y,> 100000
Asia,Bachelor's,Y,N,3978,2000,Northeast,Year,Y,50000-100000
Asia,Bachelor's,Y,N,1586,2000,Midwest,Year,Y,> 100000
Asia,High School,Y,N,128655,2004,West,Year,Y,< 50000
Asia,Master's,Y,N,2018,1987,West,Year,Y,50000-100000
Asia,Bachelor's,N,N,1126,2010,Northeast,Year,Y,50000-100000
Asia,Master's,N,N,3030,1968,Midwest,Year,Y,> 100000
Europe,Master's,Y,N,3098,2001,South,Year,Y,< 50000
Asia,Master's,Y,N,2412,2002,Northeast,Year,Y,50000-100000
North America,Bachelor's,N,N,2986,1962,Northeast,Year,N,> 100000
Africa,Master's,Y,N,992,1995,Northeast,Week,Y,< 50000
Asia,Bachelor's,N,N,2123,1904,West,Hour,Y,< 50000
Asia,Bachelor's,N,N,4286,1993,South,Year,N,> 100000
North America,Doctorate,Y,N,1313,2007,South,Year,Y,> 100000
North America,Bachelor's,Y,N,762,1962,South,Year,Y,< 50000
Asia,High School,Y,N,2219,1998,West,Year,Y,> 100000
Europe,Master's,Y,N,4646,1998,South,Year,Y,50000-100000
North America,High School,Y,N,304,1987,Midwest,Year,Y,< 50000
Europe,Master's,N,N,4875,2006,West,Year,Y,< 50000
Asia,Master's,N,N,2374,2006,Midwest,Year,Y,< 50000
Asia,Bachelor's,N,N,1972,1997,Northeast,Year,Y,< 50000
Europe,High School,N,Y,6148,1996,South,Year,Y,50000-100000
Asia,Doctorate,N,N,4930,1999,Midwest,Year,Y,> 100000
Asia,Master's,N,N,962,1999,Midwest,Year,N,> 100000
Asia,Master's,Y,N,4952,1936,West,Year,Y,< 50000
South America,Bachelor's,Y,N,3892,2000,West,Year,Y,50000-100000
North America,Master's,Y,N,39797,2004,West,Year,Y,50000-100000
Europe,Master's,Y,N,4102,2007,West,Year,Y,< 50000
South America,Doctorate,Y,N,1559,2001,Northeast,Year,Y,50000-100000
Asia,Bachelor's,N,N,1224,1965,Northeast,Hour,Y,> 100000
Europe,Bachelor's,Y,N,537,1999,Northeast,Year,Y,< 50000
Asia,Master's,Y,N,1020,2012,Northeast,Hour,Y,< 50000
Asia,Master's,N,N,5590,1834,West,Year,Y,< 50000
Asia,Bachelor's,N,N,2365,2010,South,Hour,Y,> 100000
Asia,Master's,N,N,3056,2000,Northeast,Year,Y,< 50000
Asia,High School,Y,N,2069,2005,Midwest,Year,Y,> 100000
Asia,Master's,Y,N,511,2001,South,Week,Y,> 100000
Asia,High School,N,N,2919,1998,Northeast,Year,Y,50000-100000
Asia,Bachelor's,N,N,9505,1929,Northeast,Year,Y,50000-100000
Asia,High School,N,N,652,1913,Northeast,Year,N,< 50000
Asia,Bachelor's,N,Y,558,1873,South,Year,Y,50000-100000
Asia,Bachelor's,Y,N,1962,1996,Midwest,Year,Y,> 100000
Asia,High School,N,N,628,1997,Northeast,Year,Y,50000-100000
Europe,Doctorate,Y,N,1029,1955,West,Year,Y,< 50000
Europe,Master's,Y,N,1101,1996,South,Year,Y,50000-100000
Asia,Bachelor's,Y,N,3016,1847,West,Year,Y,50000-100000
Asia,Bachelor's,Y,N,51,2003,West,Year,Y,< 50000
Asia,Bachelor's,N,N,1330,1994,West,Year,Y,50000-100000
North America,Bachelor's,Y,N,1081,1969,Northeast,Hour,Y,> 100000
Asia,Master's,N,N,172,1998,South,Year,N,> 100000
Europe,Master's,Y,N,477,2009,West,Year,Y,< 50000
Asia,Bachelor's,Y,Y,278,2009,Northeast,Year,Y,50000-100000
Europe,Bachelor's,Y,N,2230,2012,Northeast,Year,Y,50000-100000
Asia,Bachelor's,N,N,4606,2010,West,Year,N,> 100000
Asia,Master's,N,N,3799,1898,Northeast,Year,Y,> 100000
Asia,Master's,Y,N,4952,1992,South,Year,N,> 100000
Europe,Master's,Y,N,2811,1991,Island,Year,Y,50000-100000
Europe,Bachelor's,Y,N,2507,1998,West,Year,Y,50000-100000
North America,Bachelor's,N,N,2130,1998,West,Hour,Y,< 50000
Asia,Doctorate,Y,N,5491,2004,South,Year,Y,< 50000
Asia,Master's,Y,N,11340,2004,Midwest,Year,Y,> 100000
Asia,Master's,Y,Y,1742,1989,West,Year,Y,50000-100000
Asia,Bachelor's,Y,N,3525,1970,Island,Year,Y,> 100000
Asia,Master's,N,N,2103,1998,South,Hour,Y,> 100000
Europe,Bachelor's,Y,N,3815,2014,West,Year,Y,50000-100000
Asia,Master's,N,N,1097,1997,Northeast,Year,N,50000-100000
Asia,Bachelor's,N,N,2138,1969,South,Year,Y,> 100000
Asia,Master's,Y,N,3537,1998,West,Year,Y,< 50000
Asia,Master's,Y,N,3077,1971,South,Year,Y,< 50000
Asia,Master's,Y,N,1839,2005,Midwest,Year,Y,< 50000
South America,Bachelor's,N,N,1181,2000,Northeast,Hour,Y,> 100000
Asia,Master's,N,N,2440,1999,Midwest,Year,Y,> 100000
Asia,Master's,N,N,575,2008,Northeast,Hour,Y,< 50000
Europe,Doctorate,N,Y,574,2005,South,Year,Y,50000-100000
North America,Master's,N,N,3106,1975,West,Year,N,50000-100000
Europe,Master's,Y,N,2451,1994,Northeast,Year,Y,< 50000
North America,Bachelor's,N,N,4044,1970,Northeast,Year,Y,50000-100000
North America,Master's,N,N,4651,2012,South,Hour,Y,< 50000
Asia,Bachelor's,Y,N,1286,1985,Northeast,Year,Y,> 100000
North America,Bachelor's,Y,N,2553,1890,South,Year,Y,> 100000
Asia,Bachelor's,N,Y,2014,1800,South,Year,Y,50000-100000
North America,Doctorate,N,N,861,1962,West,Year,Y,50000-100000
Asia,Bachelor's,N,N,3257,1998,Northeast,Year,Y,< 50000
Asia,Bachelor's,Y,N,2251,1999,Northeast,Year,Y,50000-100000
Europe,Bachelor's,Y,N,2764,1943,South,Year,Y,< 50000
Asia,Doctorate,N,N,421062,1958,Northeast,Year,Y,50000-100000
Europe,Doctorate,Y,N,3421,1984,Northeast,Year,Y,50000-100000
North America,Master's,N,N,3536,2006,South,Year,Y,< 50000
Asia,Master's,Y,N,1409,1943,West,Year,N,> 100000
Asia,Doctorate,N,N,125220,1987,Northeast,Year,Y,> 100000
Asia,Master's,Y,N,2978,2003,Midwest,Year,Y,> 100000
South America,Bachelor's,Y,N,1883,1994,Northeast,Year,Y,> 100000
Asia,High School,N,N,506,2012,West,Year,Y,> 100000
Europe,Bachelor's,Y,N,1867,2009,Northeast,Year,Y,< 50000
Asia,Master's,Y,N,943,1985,Midwest,Year,Y,50000-100000
Asia,Doctorate,N,Y,643,2013,Northeast,Year,Y,50000-100000
Asia,Master's,Y,N,1459,1817,South,Year,N,< 50000
Asia,Master's,N,N,1034,1890,Midwest,Year,Y,50000-100000
Asia,Master's,N,N,419,2004,Midwest,Year,N,50000-100000
Asia,Bachelor's,Y,N,1249,2009,South,Year,Y,50000-100000
Europe,Bachelor's,Y,N,197,1998,Northeast,Year,Y,< 50000
Asia,High School,N,N,872,2001,Midwest,Year,Y,< 50000
Asia,Master's,Y,Y,2596,2012,Northeast,Year,Y,< 50000
Asia,Master's,N,N,2016,2010,Midwest,Year,Y,50000-100000
Europe,Bachelor's,Y,N,18,1993,West,Year,Y,< 50000
Oceania,Master's,N,N,791,1969,Northeast,Year,Y,< 50000
Europe,Master's,N,N,1091,1974,Northeast,Year,Y,< 50000
Asia,Bachelor's,Y,N,1736,2005,South,Year,Y,< 50000
Asia,High School,N,N,2657,1873,South,Month,Y,> 100000
Asia,High School,Y,N,2237,2007,West,Year,Y,< 50000
Asia,Bachelor's,Y,N,2543,2005,Northeast,Year,Y,< 50000
Europe,High School,N,Y,1715,1939,West,Year,Y,< 50000
Asia,Master's,Y,N,3232,1991,South,Year,Y,50000-100000
Asia,Bachelor's,Y,N,106940,2007,South,Year,N,50000-100000
North America,Bachelor's,Y,N,1305,1994,West,Year,Y,> 100000
North America,Bachelor's,N,N,1678,1984,Northeast,Year,Y,50000-100000
Asia,Bachelor's,Y,N,3779,1858,South,Year,Y,50000-100000
Europe,Doctorate,N,N,4081,1970,West,Year,Y,50000-100000
Asia,Doctorate,Y,Y,1997,1869,Midwest,Year,Y,> 100000
Asia,Master's,Y,N,2991,1995,Midwest,Year,Y,> 100000
Asia,Bachelor's,Y,N,798,1940,West,Year,Y,< 50000
Asia,High School,Y,N,3453,1993,Northeast,Year,Y,< 50000
Asia,Bachelor's,Y,N,1843,1997,Northeast,Year,Y,< 50000
North America,Master's,N,N,1343,2012,South,Year,N,> 100000
Asia,Master's,Y,N,2862,1982,West,Year,Y,50000-100000
Asia,Master's,Y,N,581,1989,Northeast,Year,Y,50000-100000
Europe,High School,N,Y,2099,1932,West,Year,Y,< 50000
North America,High School,Y,N,1393,1852,South,Year,Y,> 100000
North America,Master's,Y,N,5203,1998,Northeast,Year,Y,< 50000
Asia,Bachelor's,Y,N,1214,1987,South,Year,Y,< 50000
South America,Bachelor's,N,N,4943,1976,South,Hour,Y,> 100000
Asia,Master's,Y,N,3073,2011,South,Year,Y,< 50000
Asia,Doctorate,N,Y,928,1838,Northeast,Year,Y,> 100000
North America,Master's,Y,N,13423,1991,Northeast,Year,Y,< 50000
Europe,High School,Y,N,783,1998,West,Hour,Y,< 50000
Asia,Master's,N,N,3070,1969,West,Hour,Y,> 100000
Asia,Master's,N,N,37938,2013,West,Year,Y,< 50000
Europe,Doctorate,Y,Y,1252,2001,South,Year,Y,50000-100000
Asia,Master's,Y,N,1228,2005,Midwest,Year,Y,> 100000
North America,Master's,N,Y,1622,2007,Northeast,Year,Y,> 100000
North America,Master's,Y,N,2118,2001,Midwest,Year,N,50000-100000
Asia,Bachelor's,Y,N,83,1999,Midwest,Year,Y,50000-100000
Asia,Bachelor's,N,N,4342,1997,Northeast,Year,Y,< 50000
North America,High School,N,N,1646,1911,Northeast,Hour,Y,< 50000
Asia,Bachelor's,Y,N,1219,1996,Midwest,Year,Y,< 50000
Asia,Bachelor's,Y,N,3344,2007,Northeast,Year,Y,< 50000
Africa,High School,Y,N,1187,1906,Midwest,Year,Y,< 50000
Asia,Bachelor's,N,N,5074,2001,South,Year,N,> 100000
Asia,Bachelor's,N,N,14011,2003,Northeast,Year,Y,< 50000
Europe,High School,N,N,1934,2005,South,Hour,Y,> 100000
Asia,Master's,Y,N,697,2007,Midwest,Year,Y,50000-100000
Asia,Bachelor's,Y,Y,925,1950,South,Year,Y,> 100000
Asia,High School,Y,N,4657,2004,Northeast,Year,N,< 50000
Asia,Bachelor's,Y,N,1867,2008,Midwest,Year,Y,50000-100000
Asia,Doctorate,Y,N,1002,1970,Northeast,Year,Y,< 50000
Asia,Master's,Y,N,2400,2006,Midwest,Year,Y,> 100000
Asia,Doctorate,Y,N,2300,1999,Northeast,Year,Y,50000-100000
Europe,Bachelor's,N,N,1814,2013,West,Year,Y,50000-100000
Asia,Doctorate,Y,N,124,1884,South,Year,Y,< 50000
Asia,Master's,Y,N,4315,1998,Northeast,Year,N,< 50000
Oceania,Master's,Y,N,3218,1996,Midwest,Year,Y,50000-100000
Asia,Master's,Y,N,1611,1971,South,Year,Y,50000-100000
Asia,Bachelor's,Y,N,1563,1936,South,Year,Y,50000-100000
Asia,Bachelor's,Y,N,653,1977,West,Year,Y,< 50000
Asia,Bachelor's,Y,N,5592,1887,West,Year,Y,< 50000
Asia,Bachelor's,Y,N,1509,1989,South,Year,Y,50000-100000
North America,Master's,N,N,3796,1962,Island,Year,N,50000-100000
Asia,Master's,N,N,13572,1947,West,Year,Y,50000-100000
Asia,Bachelor's,Y,N,3757,1999,West,Year,Y,> 100000
Europe,Master's,Y,Y,13382,1912,West,Year,Y,> 100000
Asia,Bachelor's,Y,N,705,1989,Northeast,Year,Y,< 50000
Oceania,Master's,Y,N,1747,1998,Midwest,Year,Y,50000-100000
Asia,Master's,Y,N,2319,2004,West,Year,Y,> 100000
Europe,Bachelor's,Y,N,2069,2011,South,Year,Y,> 100000
North America,Master's,Y,Y,6051,1991,West,Year,Y,50000-100000
Europe,Bachelor's,Y,N,2397,2006,Northeast,Year,Y,< 50000
North America,Master's,N,N,12263,1986,Northeast,Hour,Y,50000-100000
North America,Master's,Y,N,3190,2005,South,Year,N,> 100000
North America,Master's,Y,N,3723,2014,Midwest,Year,Y,< 50000
Asia,Bachelor's,N,N,1715,2005,West,Year,Y,> 100000
Asia,Master's,N,N,45,2007,Midwest,Year,Y,> 100000
Asia,High School,Y,N,1762,1999,Midwest,Year,Y,> 100000
North America,Master's,N,N,3757,1908,Midwest,Year,N,> 100000
Asia,Master's,Y,N,3154,1981,Midwest,Year,Y,> 100000
Asia,Master's,Y,N,1723,1997,South,Year,N,> 100000
Africa,Master's,Y,N,14600,1875,West,Year,Y,< 50000
Asia,High School,N,N,2722,1995,Northeast,Hour,Y,< 50000
North America,Master's,Y,N,2821,2011,South,Year,Y,< 50000
Asia,High School,Y,Y,1574,2000,Northeast,Year,Y,> 100000
Europe,Master's,Y,Y,3086,2004,West,Year,Y,50000-100000
Asia,High School,N,N,3014,2004,Northeast,Month,N,> 100000
North America,Master's,Y,N,2281,2004,South,Year,Y,< 50000
North America,Doctorate,Y,N,3154,1965,Midwest,Year,Y,< 50000
North America,Master's,N,N,853,1958,Northeast,Year,N,> 100000
South America,Doctorate,N,N,819,1994,Island,Year,Y,< 50000
Europe,Bachelor's,N,N,260,2002,West,Year,Y,< 50000
North America,High School,Y,N,1125,1969,South,Hour,Y,50000-100000
Asia,Master's,N,N,4750,2005,South,Year,N,50000-100000
Asia,Bachelor's,N,N,984,1992,West,Hour,Y,< 50000
Europe,High School,N,N,4090,2002,West,Year,Y,> 100000
Africa,Doctorate,Y,N,4178,1877,Northeast,Year,Y,> 100000
Asia,Master's,Y,N,1778,1977,South,Year,Y,> 100000
Europe,Doctorate,Y,N,995,1969,West,Year,Y,> 100000
Europe,Master's,N,N,1830,1968,West,Year,Y,50000-100000
Asia,Master's,N,N,1452,2005,South,Year,N,> 100000
Europe,High School,Y,N,47,2004,West,Year,Y,50000-100000
Asia,High School,Y,Y,577,2004,South,Year,Y,50000-100000
Europe,Bachelor's,N,Y,1283,1999,West,Year,Y,50000-100000
Europe,Bachelor's,N,Y,583,1959,South,Year,Y,< 50000
North America,Bachelor's,Y,N,3112,2007,Northeast,Year,Y,> 100000
North America,Bachelor's,Y,N,608,2000,Northeast,Year,Y,< 50000
Asia,Bachelor's,Y,N,1026,2003,West,Year,Y,50000-100000
Asia,Master's,N,N,6020,2002,Midwest,Year,Y,50000-100000
Asia,High School,Y,N,3678,2009,South,Year,Y,50000-100000
Asia,Master's,N,N,1416,1968,Island,Year,N,> 100000
Asia,High School,N,N,111,2001,South,Year,Y,< 50000
